序号,分类,官方检测名称,中文名称,检测主体,比较范围,核心特征或条件,检测机制,主要数据源/CIM,安全意义,公开实现边界
1,网络流量与数据传输异常,UEBA - Unusual Volume of Outgoing Connections per Device by Company - Rule,出站连接数量异常（设备，公司同伴组）,设备,公司同伴组,出站连接数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现失陷主机外联、扫描或异常通信扩张,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
2,网络流量与数据传输异常,UEBA - Unusual Volume of Outgoing Connections per Device by Business Unit - Rule,出站连接数量异常（设备，业务单元同伴组）,设备,业务单元同伴组,出站连接数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现失陷主机外联、扫描或异常通信扩张,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
3,网络流量与数据传输异常,UEBA - Unusual Volume of Outgoing Connections per Device - Rule,出站连接数量异常（设备）,设备,实体个人历史/规则范围,出站连接数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现失陷主机外联、扫描或异常通信扩张,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
4,网络流量与数据传输异常,UEBA - Unusual Volume of Outgoing Connections Per User By Company - Rule,出站连接数量异常（用户，公司同伴组）,用户,公司同伴组,出站连接数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现失陷主机外联、扫描或异常通信扩张,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
5,网络流量与数据传输异常,UEBA - Unusual Volume of Outgoing Connections Per User By Business Unit - Rule,出站连接数量异常（用户，业务单元同伴组）,用户,业务单元同伴组,出站连接数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现失陷主机外联、扫描或异常通信扩张,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
6,网络流量与数据传输异常,UEBA - Unusual Volume of Outgoing Connections Per User - Rule,出站连接数量异常（用户）,用户,实体个人历史/规则范围,出站连接数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现失陷主机外联、扫描或异常通信扩张,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
7,网络流量与数据传输异常,UEBA - Unusual Volume of Data Uploaded per User by Company - Rule,上传数据量异常（用户，公司同伴组）,用户,公司同伴组,上传字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现异常上传和潜在数据外泄,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
8,网络流量与数据传输异常,UEBA - Unusual Volume of Data Uploaded per User - Rule,上传数据量异常（用户）,用户,实体个人历史/规则范围,上传字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现异常上传和潜在数据外泄,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
9,网络流量与数据传输异常,UEBA - Unusual Volume of Data Uploaded per Device by Company - Rule,上传数据量异常（设备，公司同伴组）,设备,公司同伴组,上传字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现异常上传和潜在数据外泄,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
10,网络流量与数据传输异常,UEBA - Unusual Volume of Data Uploaded per Device by Business Unit - Rule,上传数据量异常（设备，业务单元同伴组）,设备,业务单元同伴组,上传字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现异常上传和潜在数据外泄,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
11,网络流量与数据传输异常,UEBA - Unusual Volume of Data Uploaded per Device - Rule,上传数据量异常（设备）,设备,实体个人历史/规则范围,上传字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现异常上传和潜在数据外泄,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
12,网络流量与数据传输异常,UEBA - Unusual Volume of Data Uploaded To DMZ Devices Per User By Company - Rule,向 DMZ 设备上传数据量异常（用户，公司同伴组）,用户,公司同伴组,上传至 DMZ 的字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现向 DMZ 异常落地或中转数据,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
13,网络流量与数据传输异常,UEBA - Unusual Volume of Data Uploaded To DMZ Devices Per User By Business Unit - Rule,向 DMZ 设备上传数据量异常（用户，业务单元同伴组）,用户,业务单元同伴组,上传至 DMZ 的字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现向 DMZ 异常落地或中转数据,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
14,网络流量与数据传输异常,UEBA - Unusual Volume of Data Uploaded To DMZ Devices Per User - Rule,向 DMZ 设备上传数据量异常（用户）,用户,实体个人历史/规则范围,上传至 DMZ 的字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现向 DMZ 异常落地或中转数据,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
15,网络流量与数据传输异常,UEBA - Unusual Volume of Data Downloaded per User by Company - Rule,下载数据量异常（用户，公司同伴组）,用户,公司同伴组,下载字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现批量取数或数据收集,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
16,网络流量与数据传输异常,UEBA - Unusual Volume of Data Downloaded per User - Rule,下载数据量异常（用户）,用户,实体个人历史/规则范围,下载字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现批量取数或数据收集,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
17,网络流量与数据传输异常,UEBA - Unusual Volume of Data Downloaded per Device by Company - Rule,下载数据量异常（设备，公司同伴组）,设备,公司同伴组,下载字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现批量取数或数据收集,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
18,网络流量与数据传输异常,UEBA - Unusual Volume of Data Downloaded per Device by Business Unit - Rule,下载数据量异常（设备，业务单元同伴组）,设备,业务单元同伴组,下载字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现批量取数或数据收集,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
19,网络流量与数据传输异常,UEBA - Unusual Volume of Data Downloaded per Device - Rule,下载数据量异常（设备）,设备,实体个人历史/规则范围,下载字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现批量取数或数据收集,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
20,网络流量与数据传输异常,UEBA - Unusual Volume of Data Bytes per Device by Company - Rule,总数据流量异常（设备，公司同伴组）,设备,公司同伴组,总传输字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现设备通信量突增,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
21,网络流量与数据传输异常,UEBA - Unusual Volume of Data Bytes per Device by Business Unit - Rule,总数据流量异常（设备，业务单元同伴组）,设备,业务单元同伴组,总传输字节数,统计基线,防火墙/Suricata/网络流；Network_Traffic,发现设备通信量突增,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
